image_path,tag,ansible_core_version,python_version,rhel_version
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.14-2,2.16.14,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.14-20,2.16.14,3.11.11,9.6 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.14-24,2.16.14,3.11.11,9.6 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.14-7,2.16.14,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.14-9,2.16.14,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.3,2.16.3,3.11.5,9.3 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.3-2,2.16.3,3.11.5,9.3 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.4,2.16.4,3.11.5,9.3 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.4-1,2.16.4,3.11.5,9.3 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.5,2.16.5,3.11.5,9.3 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.5-2,2.16.5,3.11.5,9.3 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.6,2.16.6,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.6-3,2.16.6,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.7,2.16.7,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.7-2,2.16.7,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.8,2.16.8,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.8-2,2.16.8,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.8-6,2.16.8,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.9,2.16.9,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.16.9-1,2.16.9,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17,2.17.13,3.11.11,9.6 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.0,2.17.0,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.0-2,2.17.0,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.1,2.17.1,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.10,2.17.10,3.11.9,9.5 (Plow)
